text,class,feature,appName
I am not sure how to get out of the original screen to have the notes listed in another place from the running tab on the main screen R Elliott,Neutral,get out of the original screen,Evernote
I am not sure how to get out of the original screen to have the notes listed in another place from the running tab on the main screen R Elliott,Neutral,notes listed,Evernote
I am not sure how to get out of the original screen to have the notes listed in another place from the running tab on the main screen R Elliott,Neutral,running tab,Evernote
I am not sure how to get out of the original screen to have the notes listed in another place from the running tab on the main screen R Elliott,Neutral,main screen,Evernote
"I use it for notes, making copies, storing research ",Neutral,notes,Evernote
"I use it for notes, making copies, storing research ",Neutral,making copies,Evernote
"I use it for notes, making copies, storing research ",Neutral,storing research,Evernote
It syncs easily between my PC and Kindle Fire so I can take my notes anywhere ,Positive,syncs easily between my PC and Kindle Fire,Evernote
It syncs easily between my PC and Kindle Fire so I can take my notes anywhere ,Neutral,take my notes,Evernote
I use Evernote for all my note taking needs and general memory practice ,Neutral,note taking,Evernote
I use Evernote for all my note taking needs and general memory practice ,Neutral,memory practice,Evernote
I love the fact that I can review and edit my notes on any device and anywhere ,Positive,edit my notes,Evernote
"would recommend this to students, great for tagging websites you want to keep to help get some work done!",Positive,tagging websites,Evernote
perfect to keep my Pc synced with my phone and tablet,Positive,keep my Pc synced with my phone,Evernote
Works great and synchs to all of my devices ,Neutral,synchs to all of my devices,Evernote
Using it for homeschool lesson plans ,Neutral,homeschool lesson plans,Evernote
"I have a terrible memory, and with Evernote I have been able to keep track of everything ",Neutral,keep track of everything,Evernote
The fact that you can clip from the internet is great ,Positive,clip from the internet,Evernote
It also syncs with other devices without using a manual device sync ,Neutral,syncs with other devices,Evernote
"This app was constantly updating, contacting me and trying to get on my other wireless devices ",Neutral,updating,Evernote
"This app was constantly updating, contacting me and trying to get on my other wireless devices ",Neutral,contacting,Evernote
It was way too complicated for what I neded - just a simple note pad ,Neutral,note pad,Evernote
I can easily store and organize my thoughts in ways I never imagined ,Positive,organize my thoughts,Evernote
The best feature is being able to email yourself a note and seeing your notes on the web ,Positive,email yourself a note,Evernote
The best feature is being able to email yourself a note and seeing your notes on the web ,Positive,seeing your notes on the web,Evernote
I try not to waste any natural brainpower on things that evernote can now remember for me ,Neutral,remember for me,Evernote
It is great for note taking or outlining a paper ,Positive,note taking,Evernote
It is great for note taking or outlining a paper ,Positive,outlining a paper,Evernote
Only complaint is the sharing options are limited ,Negative,sharing options,Evernote
Installed everywhere I needed ,Neutral,Installed,Evernote
A slick note store - really helped me get all of the clutter out of my head!,Positive,note store,Evernote
very handy to either make quick note while out or lengthy one at home from computerwould recommend to family or friends,Positive,make quick note,Evernote
"I love Evernote simply for the reason that you have your notes accessible from anywhere : kindle,  phone, or PC ",Positive,notes accessible,Evernote
Also love the check box option for my to do lists!,Positive,check box,Evernote
Also love the check box option for my to do lists!,Neutral,to do lists,Evernote
You can keep picture notes and everything you need to keep in this little app right here ,Neutral,keep picture notes,Evernote
Sure they use your contacts but thats all they use ,Neutral,use your contacts,Evernote
They use what they have to to create your account ,Neutral,create your account,Evernote
Good enough synching which is why I needed it in the first place ,Positive,synching,Evernote
"Great for taking down note,  I also use it to write down recipes      ",Positive,taking down note,Evernote
"Great for taking down note,  I also use it to write down recipes      ",Neutral,write down recipes,Evernote
its the sticky note you have been waiting for,Neutral,sticky note,Evernote
this does everything i was looking for i am a sticky note queen and i can organize all my notes and to dos in one place,Neutral,sticky note,Evernote
this does everything i was looking for i am a sticky note queen and i can organize all my notes and to dos in one place,Neutral,organize all my notes,Evernote
"With Evernote, no matter where I am, or what device I use, I can quickly jot down notes, ideas, or important info and not worry about where I saved it ",Positive,jot down notes,Evernote
"With Evernote, no matter where I am, or what device I use, I can quickly jot down notes, ideas, or important info and not worry about where I saved it ",Neutral,saved,Evernote
"With add-ons like Skitch, I can take pictures of things that inspire my art and make notations right in the image, then Evernote once again makes sure all my devices have a copy ",Neutral,take pictures,Evernote
"With add-ons like Skitch, I can take pictures of things that inspire my art and make notations right in the image, then Evernote once again makes sure all my devices have a copy ",Neutral,make notations right in the image,Evernote
"With add-ons like Skitch, I can take pictures of things that inspire my art and make notations right in the image, then Evernote once again makes sure all my devices have a copy ",Neutral,makes sure all my devices have a copy,Evernote
"Love that it syncs across all platforms - my laptop, Kindle Fire, Android phone, and even accessible on the web from any computer ",Positive,syncs across all platforms,Evernote
this app allows for sharing and can be typed on your laptop as well!,Neutral,sharing,Evernote
"works well within my kindle fire, and allows me to take great notes during class ",Positive,take great notes,Evernote
a wonderful application for note taking and the layout even better,Positive,note taking,Evernote
I recommend this for note takers takers everywhere!!,Positive,note takers,Evernote
I even take my Bible Study notes in it!,Neutral,take my Bible Study notes,Evernote
"Awesome software - available on kindle, phone and computer and notes are there for you to access and review or edit!",Neutral,notes,Evernote
"Awesome software - available on kindle, phone and computer and notes are there for you to access and review or edit!",Neutral,access,Evernote
"Awesome software - available on kindle, phone and computer and notes are there for you to access and review or edit!",Neutral,review,Evernote
"Awesome software - available on kindle, phone and computer and notes are there for you to access and review or edit!",Neutral,edit,Evernote
I take message notes at church with Evernote and it is quite useful ,Positive,take message notes,Evernote
"And what makes it better is that you can have the same note synced on all of your devices - so you can write your shopping list on your computer, and look it up on your iPhone or tablet ",Neutral,note synced,Evernote
"And what makes it better is that you can have the same note synced on all of your devices - so you can write your shopping list on your computer, and look it up on your iPhone or tablet ",Neutral,write your shopping list,Evernote
When your need to jot something down real quick or just take a picture of something to remember ,Neutral,jot something down,Evernote
When your need to jot something down real quick or just take a picture of something to remember ,Neutral,take a picture,Evernote
"I can dictate 500 words in no time, and transfer it to a word document!",Neutral,dictate 500 words,Evernote
"I can dictate 500 words in no time, and transfer it to a word document!",Neutral,transfer it to a word document,Evernote
"lol I cant figure out why, but it makes me poop myself every time I open it!",Neutral,open,Evernote
I like how it syncs to my computer and is easy to use ,Positive,syncs to my computer,Evernote
This is a great app for thosd needing to create / access information on multiple computers but dont want to have to carry a thumb drive around ,Positive,access information,Evernote
Syncs all three without problems ,Neutral,Syncs,Evernote
So nice not to wonder where you saved your data and be able to access it and update it from multiple devices ,Positive,saved your data,Evernote
So nice not to wonder where you saved your data and be able to access it and update it from multiple devices ,Positive,access,Evernote
So nice not to wonder where you saved your data and be able to access it and update it from multiple devices ,Positive,update it from multiple devices,Evernote
I started working with Evernote last year when looking for a note taking program to organize my class notes ,Neutral,note taking,Evernote
I started working with Evernote last year when looking for a note taking program to organize my class notes ,Neutral,organize my class notes,Evernote
"I needed something that could at least reasonably organize scanned note from classes like Calculus and Gen Chem, where notes cant be taken on the computer reasonably ",Neutral,organize scanned note,Evernote
"I needed something that could at least reasonably organize scanned note from classes like Calculus and Gen Chem, where notes cant be taken on the computer reasonably ",Neutral,notes,Evernote
"In other courses I found evernote to be perfect, but the shear number of notes often ran me into a wall with the limited 60MB ",Neutral,notes,Evernote
Since then I have upgraded to the premium edition of Evernote and the service has consistantly gotten better every month ,Neutral,upgraded to the premium edition,Evernote
In fact it is nearly impossible to run out your quota if you are only taking text notes and saving web clippings ,Neutral,taking text notes,Evernote
In fact it is nearly impossible to run out your quota if you are only taking text notes and saving web clippings ,Neutral,saving web clippings,Evernote
You may consider upgrading if archiving large quantities of PDFs and Pictures is your goal On the Kindle Fire this apps start screen is a little redundant ,Neutral,upgrading,Evernote
You may consider upgrading if archiving large quantities of PDFs and Pictures is your goal On the Kindle Fire this apps start screen is a little redundant ,Neutral,archiving large quantities of PDFs,Evernote
You may consider upgrading if archiving large quantities of PDFs and Pictures is your goal On the Kindle Fire this apps start screen is a little redundant ,Negative,start screen,Evernote
The New Note button and Attach button are the only two that work ,Neutral,Note button,Evernote
The New Note button and Attach button are the only two that work ,Neutral,Attach button,Evernote
The add voice note and photo note do the same thing as the attach button ,Neutral,add voice note,Evernote
The add voice note and photo note do the same thing as the attach button ,Neutral,photo note,Evernote
The add voice note and photo note do the same thing as the attach button ,Neutral,attach button,Evernote
The interface has been well redesigned to make working with it more intuitive albeit a little bit chunkier As a premium user I take advantage of the extra space in very creative ways ,Positive,interface,Evernote
The interface has been well redesigned to make working with it more intuitive albeit a little bit chunkier As a premium user I take advantage of the extra space in very creative ways ,Positive,premium user,Evernote
I like to use the the table tool (in the desktop client) to put all the slides in one column and the descriptions in the other ,Neutral,put all the slides in one column,Evernote
"When reading on the Android app you can then quicky and effectively go through andAs for PDFs, there is no integrated reader that allows you to display the files inline like the desktop clients ",Neutral,integrated reader,Evernote
"When reading on the Android app you can then quicky and effectively go through andAs for PDFs, there is no integrated reader that allows you to display the files inline like the desktop clients ",Neutral,display the files inline,Evernote
Instead the PDFs are shown as attachments ,Neutral,PDFs are shown as attachments,Evernote
"I would recommend installing Adobe ReaderAdobe Readerwhich perfectly displays PDFs on the kindle fire For whatever reason, on the Kindle Fire voice notes will not play ",Neutral,voice notes,Evernote
I understand that the 1st gen Kindle Fire doesnt have a microphone so no you cant make audio notes Update: Thursday Nov 8th 2012[   ]Evernote announced serious changes to their client and their service addressing many of the concerns of reviewers ,Neutral,make audio notes,Evernote
I love this app including the PC version and I especially love the easy sync ,Positive,sync,Evernote
Vastly superior to the other note apps Ive used ,Positive,note,Evernote
Keeps me organized ,Neutral,Keeps me organized,Evernote
Great way to sync notes across platforms ,Positive,sync notes,Evernote
I use it in tandem with Pulse to save recipes ,Neutral,save recipes,Evernote
I have it on my Kindle Fire an use it for making lists ,Neutral,making lists,Evernote
The checkbox option comes in very handy ,Positive,checkbox option,Evernote
"I use Evernote as my primary note-taking method in college, and to be honest, its been one of the most helpful applications Ive ever used!",Neutral,note-taking,Evernote
"My only two minor gripes are that there is a persistant bug that prevents me from editing many of my notes on an iPhone (the screen jumps around with every keypress), and the overly-minimalistic formatting options, necessitating a separate word processor for essays or any other serious papers ",Neutral,editing many of my notes,Evernote
"My only two minor gripes are that there is a persistant bug that prevents me from editing many of my notes on an iPhone (the screen jumps around with every keypress), and the overly-minimalistic formatting options, necessitating a separate word processor for essays or any other serious papers ",Neutral,word processor,Evernote
"My only two minor gripes are that there is a persistant bug that prevents me from editing many of my notes on an iPhone (the screen jumps around with every keypress), and the overly-minimalistic formatting options, necessitating a separate word processor for essays or any other serious papers ",Negative,formatting options,Evernote
"It syncs with my PC, my Notebook, my Netbook, my Kindle and my android phone seamlessly ",Positive,syncs,Evernote
It holds everything from web pages to simple notes to complex itineraries Evernote is my &#34;go-to&#34; program for retaining information ,Neutral,notes,Evernote
It holds everything from web pages to simple notes to complex itineraries Evernote is my &#34;go-to&#34; program for retaining information ,Neutral,itineraries,Evernote
It holds everything from web pages to simple notes to complex itineraries Evernote is my &#34;go-to&#34; program for retaining information ,Neutral,retaining information,Evernote
I write songs and like to keep a diary so Evernote really helps me keep track of everything ,Neutral,keep track of everything,Evernote
"I also like Skitch, which lets you draw pics and sign your name on important notes ",Positive,Skitch,Evernote
"I also like Skitch, which lets you draw pics and sign your name on important notes ",Neutral,draw pics,Evernote
"I also like Skitch, which lets you draw pics and sign your name on important notes ",Neutral,sign your name on important notes,Evernote
It is a separate download but once its downloaded you can click the link let you sign or draw onto your notes ,Neutral,sign,Evernote
It is a separate download but once its downloaded you can click the link let you sign or draw onto your notes ,Neutral,draw onto your notes,Evernote
"I just use this for everything: grocery lists, recipes, websites, schedules, story writing, class notes, ect ",Neutral,grocery lists,Evernote
"I just use this for everything: grocery lists, recipes, websites, schedules, story writing, class notes, ect ",Neutral,recipes,Evernote
"I just use this for everything: grocery lists, recipes, websites, schedules, story writing, class notes, ect ",Neutral,websites,Evernote
"I just use this for everything: grocery lists, recipes, websites, schedules, story writing, class notes, ect ",Neutral,schedules,Evernote
"I just use this for everything: grocery lists, recipes, websites, schedules, story writing, class notes, ect ",Neutral,story writing,Evernote
"I just use this for everything: grocery lists, recipes, websites, schedules, story writing, class notes, ect ",Neutral,class notes,Evernote
"This is on my computer, Kindle Fire and Iphone and can be synced across all these devices ",Neutral,synced across all these devices,Evernote
I love how you can format it with check boxes and tables ,Positive,format it with check boxes,Evernote
It really has helped me keep organized with everything in one place and easy to find ,Positive,find,Evernote
It really has helped me keep organized with everything in one place and easy to find ,Neutral,keep organized,Evernote
"No more wondering where I wrote that note down, what that website was, or where my grocery list ran off to ",Neutral,wrote that note down,Evernote
"No more wondering where I wrote that note down, what that website was, or where my grocery list ran off to ",Neutral,grocery list,Evernote
"I love how this app syncs with all my devices, inc my phone and tablet ",Positive,syncs with all my devices,Evernote
It has helped me organize my work and personal life so much that I would be lost without it ,Positive,organize my work,Evernote
One thing that would make it better than andronotes is if it is alphabetical when searching for notes!,Neutral,searching for notes,Evernote
"very useful app, you can note sonething in your mobile device then view it on your computer ",Positive,note sonething,Evernote
"or the oppsite :)pls,it has an add-in in outlook too ",Neutral,add-in,Evernote
Works in different applications syncs between all my devices ,Neutral,syncs between all my devices,Evernote
Only thing I ask is create a way to drag notes from books on kindle fire,Neutral,drag notes from books,Evernote
"I can make a file for everything from my sons funny quotes, to homework and tasks, as well as make separate note files for both of my non profits ",Neutral,make a file,Evernote
"I can make a file for everything from my sons funny quotes, to homework and tasks, as well as make separate note files for both of my non profits ",Neutral,make separate note files,Evernote
App has been invaluable to me in keeping track of certain articles as well as being able to send them to my different email sites ,Positive,keeping track of certain articles,Evernote
App has been invaluable to me in keeping track of certain articles as well as being able to send them to my different email sites ,Positive,send them to my different email sites,Evernote
i have several and can share with the wife instantly ,Neutral,share,Evernote
I love how you can create separate notebooks and include attachments for any use ,Positive,separate notebooks,Evernote
I love how you can create separate notebooks and include attachments for any use ,Positive,include attachments,Evernote
I wish I knew how to rotate a picture but Im learning more and more each day for an old geezer ,Neutral,rotate a picture,Evernote
"I like synchronizing across platforms, especially ",Positive,synchronizing across platforms,Evernote
"Evernote has exceptional file and information handling capabilities and allows you to capture, store and share not just notes but photos, webpages, freehand drawings and graphics, and pretty much anything you want ",Positive,information handling capabilities,Evernote
"Evernote has exceptional file and information handling capabilities and allows you to capture, store and share not just notes but photos, webpages, freehand drawings and graphics, and pretty much anything you want ",Neutral,capture,Evernote
"Evernote has exceptional file and information handling capabilities and allows you to capture, store and share not just notes but photos, webpages, freehand drawings and graphics, and pretty much anything you want ",Neutral,store,Evernote
"Evernote has exceptional file and information handling capabilities and allows you to capture, store and share not just notes but photos, webpages, freehand drawings and graphics, and pretty much anything you want ",Neutral,share,Evernote
"Evernote has exceptional file and information handling capabilities and allows you to capture, store and share not just notes but photos, webpages, freehand drawings and graphics, and pretty much anything you want ",Neutral,notes,Evernote
"Evernote has exceptional file and information handling capabilities and allows you to capture, store and share not just notes but photos, webpages, freehand drawings and graphics, and pretty much anything you want ",Neutral,photos,Evernote
"Evernote has exceptional file and information handling capabilities and allows you to capture, store and share not just notes but photos, webpages, freehand drawings and graphics, and pretty much anything you want ",Neutral,webpages,Evernote
"Evernote has exceptional file and information handling capabilities and allows you to capture, store and share not just notes but photos, webpages, freehand drawings and graphics, and pretty much anything you want ",Neutral,freehand drawings,Evernote
"Evernote has exceptional file and information handling capabilities and allows you to capture, store and share not just notes but photos, webpages, freehand drawings and graphics, and pretty much anything you want ",Neutral,graphics,Evernote
The premium edition allows your friends to access and modify your notes and so offers group collaboration capabilities Another area Evernote excels in is the sheer number and diversity of its companion apps ,Neutral,premium edition,Evernote
The premium edition allows your friends to access and modify your notes and so offers group collaboration capabilities Another area Evernote excels in is the sheer number and diversity of its companion apps ,Neutral,modify your notes,Evernote
The premium edition allows your friends to access and modify your notes and so offers group collaboration capabilities Another area Evernote excels in is the sheer number and diversity of its companion apps ,Neutral,group collaboration,Evernote
"There are more and there is often more than one app available in a particular category (note management, daily journal, etc ) so that if you dont like that particular companion app there may be another you will like In reading the reviews here I note that some people didnt like Evernote wanting access to all of their contacts, which they considered an invasion of privacy ",Negative,access to all of their contacts,Evernote
So if this is a probem for you you should consider that before buying the app Overall Evernote offers a lot of value for the money and has the most add-ons and companion apps of any app in the note category ,Neutral,add-ons,Evernote
There is something for just about everyone so if youre looking for a good note and task app Evernote is one of the top offerings that you should consider ,Positive,note,Evernote
There is something for just about everyone so if youre looking for a good note and task app Evernote is one of the top offerings that you should consider ,Positive,task,Evernote
"I have Evernote apps on my Kindle Fire, iphone, ans browser at work and Im able to email myself notes, links, etc and then open in any said mediums and since ",Neutral,email myself notes,Evernote
Anything you need to save online and/or add notes to comes together perfectly in this app ,Positive,save online,Evernote
Anything you need to save online and/or add notes to comes together perfectly in this app ,Positive,add notes,Evernote
The easy to use UI and cross platform syncing and integration is what puts this app above the rest ,Positive,UI,Evernote
The easy to use UI and cross platform syncing and integration is what puts this app above the rest ,Positive,cross platform syncing,Evernote
The easy to use UI and cross platform syncing and integration is what puts this app above the rest ,Positive,integration,Evernote
"I use it on my phone, my laptop and iTouch and my tablet and it syncs instantly and seamlessly ",Neutral,syncs,Evernote
I love the fact that it synchs across all my devices automatically ,Positive,synchs across all my devices,Evernote
I was looking for and quick and easy way to write on my kindle and have access to it everywhere ,Neutral,write on my kindle,Evernote
I was looking for and quick and easy way to write on my kindle and have access to it everywhere ,Neutral,have access,Evernote
This app is a dream come true for list makers!,Positive,list makers,Evernote
I love having one place to go and see all my notes ,Positive,see all my notes,Evernote
i have used it to take notes in classes and it works brilliantly ,Positive,take notes,Evernote
"i can access my notes from my other computers, organize them in notebooks and tags and add web content and other attachments that make this app an excellent addition to any computer, tablet, or phone ",Neutral,access my notes,Evernote
"i can access my notes from my other computers, organize them in notebooks and tags and add web content and other attachments that make this app an excellent addition to any computer, tablet, or phone ",Neutral,organize them in notebooks,Evernote
"i can access my notes from my other computers, organize them in notebooks and tags and add web content and other attachments that make this app an excellent addition to any computer, tablet, or phone ",Neutral,add web,Evernote
"i can access my notes from my other computers, organize them in notebooks and tags and add web content and other attachments that make this app an excellent addition to any computer, tablet, or phone ",Neutral,attachments,Evernote
"if you ever need to make checklists, remember names or emails, or take notes this is the app for you ",Neutral,make checklists,Evernote
"if you ever need to make checklists, remember names or emails, or take notes this is the app for you ",Neutral,remember names,Evernote
"if you ever need to make checklists, remember names or emails, or take notes this is the app for you ",Neutral,take notes,Evernote
Like the ability to format notes in various ways and the sync to web works great as well ,Positive,format notes,Evernote
Like the ability to format notes in various ways and the sync to web works great as well ,Positive,sync to web,Evernote
Its a bit processor heavy but the updates are tweaking it into place (hopefully) ,Neutral,updates,Evernote
"fast, easy, and able to reach your notes anywhere ",Neutral,reach your notes,Evernote
"This app is great, compatible with so many programs, great sharing options and the sync has never failed me between my PC, GS3, Kindle Fire and Notebook!",Positive,sharing options,Evernote
"This app is great, compatible with so many programs, great sharing options and the sync has never failed me between my PC, GS3, Kindle Fire and Notebook!",Neutral,sync,Evernote
"I Highly recommend this app for anyone who needs to list, note, share or do just about anything else it offers!",Positive,list,Evernote
"I Highly recommend this app for anyone who needs to list, note, share or do just about anything else it offers!",Positive,note,Evernote
